Descripton,No,ProfitMargin,PVProfitBeforeTax,PVPremium,PM_DeathBenefit,PM_SurrenderBenefit ,PM_PartialEndowBenefit ,PM_EndowBenefit ,PM_InitExpense ,PM_MaintExpense ,PM_Commission 
WL0,0,    0.010063,14564.532047,1447290.153042,    0.073658,    0.730338,    0.000000,    0.000000,    0.103642,    0.082231,    0.000000
WL1,1,    0.046063,94344.126867,2048156.537557,    0.030915,    0.782756,    0.000000,    0.000000,    0.073237,    0.066962,    0.000000
WL2,2,    0.051024,129272.141750,2533567.489400,    0.042077,    0.787948,    0.000000,    0.000000,    0.059205,    0.059679,    0.000000
WL3,3,    0.064694,204792.590287,3165537.714258,    0.074722,    0.759765,    0.000000,    0.000000,    0.047385,    0.053365,    0.000000
WL4,4,    0.085197,336153.515926,3945606.075036,    0.131742,    0.696855,    0.000000,    0.000000,    0.038017,    0.048122,    0.000000
WL5,5,    0.119544,586234.615780,4903928.991554,    0.218462,    0.587696,    0.000000,    0.000000,    0.030588,    0.043646,    0.000000
WL6,6,   -0.063331,-52103.562938,822720.876761,    0.076963,    0.681414,    0.000000,    0.000000,    0.182322,    0.122565,    0.000000
WL7,7,   -0.017450,-19378.603448,1110519.470476,    0.095995,    0.688134,    0.000000,    0.000000,    0.135072,    0.098182,    0.000000
WL8,8,    0.040345,62787.755989,1556265.619102,    0.151989,    0.633308,    0.000000,    0.000000,    0.096385,    0.077907,    0.000000
WL9,9,    0.099459,223110.476342,2243233.219888,    0.231720,    0.539735,    0.000000,    0.000000,    0.066868,    0.062154,    0.000000
WL10,10,    0.166063,551411.571772,3320504.439689,    0.322639,    0.415736,    0.000000,    0.000000,    0.045174,    0.050328,    0.000000
Endow1,11,   -0.036907,-44106.204153,1195067.326614,    0.005010,    0.408412,    0.000000,    0.458917,    0.125516,    0.038983,    0.000000
Endow2,12,   -0.037259,-44520.803325,1194906.010992,    0.005555,    0.408728,    0.000000,    0.458389,    0.125533,    0.038984,    0.000000
Endow3,13,   -0.033138,-39787.306550,1200641.787222,    0.012530,    0.404678,    0.000000,    0.452010,    0.124933,    0.038918,    0.000000
Endow4,14,   -0.021889,-26625.593540,1216404.945763,    0.031199,    0.393720,    0.000000,    0.434849,    0.123314,    0.038739,    0.000000
Endow5,15,    0.006863, 8631.964694,1257664.120332,    0.073709,    0.366218,    0.000000,    0.395578,    0.119269,    0.038296,    0.000000
Endow6,16,   -0.227550,-99342.642554,436575.400512,    0.028564,    0.789660,    0.000000,    0.001021,    0.343583,    0.064654,    0.000000
Endow7,17,   -0.169735,-91915.028897,541521.255432,    0.038050,    0.793837,    0.000000,    0.003048,    0.276997,    0.057735,    0.000000
Endow8,18,   -0.112672,-76424.218799,678291.221017,    0.065820,    0.764847,    0.000000,    0.009047,    0.221144,    0.051746,    0.000000
Endow9,19,   -0.058992,-50080.008079,848932.701428,    0.110588,    0.697573,    0.000000,    0.027368,    0.176692,    0.046703,    0.000000
Endow10,20,   -0.000951,-1012.492363,1064242.549228,    0.163698,    0.567311,    0.000000,    0.086755,    0.140945,    0.042176,    0.000000
Term1,21,    0.046050,16024.111524,347970.625414,    0.172066,    0.000000,    0.000000,    0.000000,    0.431071,    0.350773,    0.000000
Term2,22,    0.068123,24776.178486,363699.815477,    0.182516,    0.000000,    0.000000,    0.000000,    0.412428,    0.336894,    0.000000
Term3,23,    0.209972,113752.004068,541749.201595,    0.277683,    0.000000,    0.000000,    0.000000,    0.276881,    0.235425,    0.000000
Term4,24,    0.339953,349870.498695,1029174.614017,    0.368748,    0.008245,    0.000000,    0.000000,    0.145748,    0.137267,    0.000000
Term5,25,    0.405901,891062.259092,2195270.160460,    0.422275,    0.024187,    0.000000,    0.000000,    0.068329,    0.079268,    0.000000
Term6,26,    0.091394,242928.392269,2658036.346290,    0.046916,    0.718038,    0.000000,    0.000000,    0.056433,    0.087155,    0.000000
Term7,27,    0.089873,288411.884150,3209095.531434,    0.064208,    0.722057,    0.000000,    0.000000,    0.046742,    0.077054,    0.000000
Term8,28,    0.106122,415911.944791,3919168.936573,    0.113915,    0.673720,    0.000000,    0.000000,    0.038273,    0.067904,    0.000000
Term9,29,    0.141269,663746.561478,4698472.686441,    0.199814,    0.566453,    0.000000,    0.000000,    0.031925,    0.060476,    0.000000
Term10,30,    0.218557,1169922.742488,5352933.384107,    0.325455,    0.373336,    0.000000,    0.000000,    0.028022,    0.054572,    0.000000
