x,sex,elapsed,S
10,f,7,100
10,f,13,200
10,f,6,100
10,f,9,100
10,f,2,200
10,f,9,100
10,f,9,200
10,f,15,100
10,f,15,200
10,f,8,100
10,f,11,100
10,f,6,100
10,f,6,1000
10,f,15,500
10,f,1,1000
10,f,14,1000
10,f,3,100
10,f,7,1000
10,f,9,500
10,f,4,500
10,f,11,1000
10,f,13,100
10,f,14,100
10,f,13,500
10,f,3,500
10,f,8,1000
10,f,1,100
10,f,15,1000
10,f,3,100
10,f,9,100
10,f,5,100
10,f,11,100
10,f,15,1000
10,f,12,1000
10,f,6,500
10,f,12,200
10,f,1,500
10,f,5,500
10,f,7,1000
10,f,4,1000
10,f,11,500
10,f,2,100
10,f,15,100
10,f,3,200
10,f,9,500
10,f,1,100
10,f,8,100
10,f,10,1000
10,f,2,500
10,f,7,1000
10,f,15,200
10,f,4,1000
10,f,1,200
10,f,6,100
10,f,11,500
10,f,4,200
10,f,11,200
10,f,2,200
10,f,3,500
10,f,4,100
10,f,14,200
10,f,5,500
10,f,11,500
10,f,12,200
10,f,7,200
10,f,8,500
10,f,10,100
10,f,6,500
10,f,1,500
10,f,11,200
10,f,7,200
10,f,12,200
10,f,4,100
10,f,6,1000
10,f,11,500
10,f,15,100
10,f,10,100
10,f,6,100
10,f,6,1000
10,f,11,1000
10,f,2,200
10,f,12,100
10,f,3,100
10,f,13,100
10,f,7,100
10,f,2,500
10,f,12,200
10,f,5,100
10,f,2,100
10,f,4,500
10,f,6,1000
10,f,5,1000
10,f,2,500
10,f,9,500
10,f,7,500
10,f,12,100
10,f,8,500
10,f,12,100
10,f,7,100
10,f,10,1000
10,f,6,1000
10,f,10,100
10,f,8,100
10,f,5,1000
10,f,2,500
10,f,1,100
10,f,15,100
10,f,3,1000
10,f,5,100
10,f,2,200
10,f,1,100
10,f,4,500
10,f,3,500
10,f,4,1000
10,f,15,1000
10,f,14,500
10,f,14,500
10,f,3,500
10,f,13,100
10,f,3,1000
10,f,12,500
10,f,2,200
10,f,4,1000
10,f,4,200
10,f,11,500
10,f,9,500
10,f,13,1000
10,f,2,100
10,f,14,1000
10,f,6,200
10,f,11,200
10,f,2,100
10,f,5,500
10,f,3,500
10,f,15,200
10,f,9,500
10,f,12,500
10,f,8,500
10,f,1,1000
10,f,14,500
10,f,4,500
10,f,1,200
10,f,4,500
10,f,4,100
10,f,12,200
10,f,9,100
10,f,9,1000
10,f,12,200
10,f,2,500
10,f,5,200
10,f,4,200
10,f,11,200
10,f,10,500
10,f,13,500
10,f,15,500
10,f,9,500
10,f,15,500
10,f,14,100
10,f,7,500
10,f,11,1000
10,f,4,200
10,f,7,200
10,f,2,200
10,f,10,500
10,f,4,500
10,f,12,100
10,f,1,100
10,f,11,1000
10,f,6,200
10,f,10,200
10,f,1,100
10,f,10,200
10,f,6,200
10,f,3,1000
10,f,6,500
10,f,9,1000
10,f,12,100
10,f,7,100
10,f,12,100
10,f,15,100
10,f,8,200
10,f,13,500
10,f,14,200
10,f,2,100
10,f,1,500
10,f,11,1000
10,f,12,100
10,f,1,500
10,f,1,200
10,f,9,500
10,f,10,1000
10,f,15,200
10,f,5,100
10,f,2,200
10,f,10,100
10,f,2,500
10,f,11,500
10,f,3,100
10,f,5,1000
10,f,14,100
10,f,15,1000
10,f,12,100
10,f,15,1000
10,f,3,100
10,f,6,500
10,f,1,1000
10,f,11,500
10,f,8,100
10,f,12,500
10,f,1,1000
10,f,6,1000
10,f,6,100
10,f,3,200
10,f,2,100
10,f,8,500
10,f,9,100
10,f,1,100
10,f,14,100
10,f,11,500
10,f,10,1000
10,f,4,500
10,f,8,200
10,f,7,100
10,f,2,1000
10,f,10,100
10,f,13,100
10,f,10,500
10,f,12,200
10,f,15,500
10,f,7,100
10,f,4,100
10,f,8,1000
10,f,12,500
10,f,7,200
10,f,13,500
10,f,10,500
10,f,12,500
10,f,4,200
10,f,5,200
10,f,14,500
10,f,10,200
10,f,8,100
10,f,8,500
10,f,6,500
10,f,15,1000
10,f,2,1000
10,f,12,1000
10,f,13,100
10,f,2,500
10,f,13,100
10,f,1,1000
10,f,14,200
10,f,13,200
10,f,13,100
10,f,10,100
10,f,10,100
10,f,10,100
10,f,7,100
10,f,6,100
10,f,5,200
10,f,10,500
10,f,8,1000
10,f,7,100
10,f,11,200
10,f,15,200
10,f,1,200
10,f,15,200
10,f,13,200
10,f,10,100
10,f,4,100
10,f,7,200
10,f,9,500
10,f,4,200
10,f,1,100
10,f,6,1000
10,f,3,200
10,f,1,500
10,f,7,200
10,f,6,200
10,f,7,100
10,f,11,1000
10,f,14,200
10,f,1,1000
10,f,7,500
10,f,10,1000
10,f,8,200
10,f,2,100
10,f,3,100
10,f,15,500
10,f,1,200
10,f,7,1000
10,f,7,500
10,f,4,200
10,f,2,1000
10,f,8,500
10,f,9,100
10,f,5,200
10,f,12,200
10,f,15,1000
10,f,11,500
10,f,11,200
10,f,2,1000
10,f,7,1000
10,f,11,500
10,f,7,500
10,f,4,200
10,f,5,1000
10,f,15,100
10,f,1,200
10,f,11,200
10,f,12,1000
10,f,10,500
10,f,3,500
10,f,10,100
10,f,1,500
10,f,15,500
10,f,4,1000
10,f,5,200
10,f,13,1000
10,f,14,1000
10,f,1,100
10,f,9,100
10,f,13,500
10,f,12,1000
10,f,11,1000
10,f,7,100
10,f,8,1000
10,f,10,200
10,f,2,100
10,f,2,500
10,f,5,200
10,f,15,200
10,f,10,200
10,f,6,200
10,f,7,100
10,f,10,500
10,f,2,1000
10,f,15,200
10,f,6,1000
10,f,8,500
10,f,12,1000
10,f,4,200
10,f,13,1000
10,f,13,1000
10,f,10,100
10,f,6,500
10,f,4,100
10,f,9,1000
10,f,15,500
10,f,7,100
10,f,11,1000
10,f,8,500
10,f,2,200
10,f,9,1000
10,f,5,1000
10,f,9,500
10,f,4,500
10,f,3,200
10,f,14,1000
